"id","name","gender","age","type","country","genres","spotifyId","popularity","followers"
"6261895","Drake","male","33","person","CA","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']","3TVXtAsR1Inumwj472S9r4",95,67117766
"6630241","Post Malone","male","25","person","US","['dfw rap', 'melodic rap', 'rap']","246dkjvS1zLTtiykXe5h60",89,38187668
"3417602","Ed Sheeran","male","29","person","GB","['pop', 'uk pop']","6eUKZXaKkcviH0Ku9w2n3V",90,102584457
"399366","J Balvin","male","35","person","CO","['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']","1vyhD5VmyZ7KMfW5gqLgo5",88,35318069
"3355589","Bad Bunny","male","26","person","PR","['latin', 'reggaeton', 'trap latino']","4q3ewBCX7sLwd24euuV69X",100,56219718
"5680553","Justin Bieber","male","26","person","CA","['canadian pop', 'pop', 'post-teen pop']","1uNFoZAHBGtllmzznpCI3s",90,65865278
"2270704","Ozuna","male","28","person","PR","['latin', 'puerto rican pop', 'reggaeton', 'trap latino']","1i8SpTcr7yvPOmcqrbnVXY",86,33622346
"2367252","Ariana Grande","female","27","person","US","['dance pop', 'pop', 'post-teen pop']","66CXWjxzNUsdJxJ2JdwvnR",88,83313205
"6611357","Khalid","male","22","person","US","['alternative r&b', 'pop']","6LuN9FCkKOj5PcnpouEgny",85,15518084
"4570990","Daddy Yankee","male","43","person","PR","['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']","4VMYDCV2IEDYJArk749S6m",87,29552980
"3011492","Travis Scott","male","28","person","US","['rap', 'slap house']","0Y5tJX1MQlPlqiwlOH1tJY",87,21044423
"2926645","The Weeknd","male","30","person","CA","['canadian contemporary r&b', 'canadian pop', 'pop']","1Xyo4u8uXC1ZmMpatF05PJ",93,49839489
"6222875","XXXTENTACION","male","20","person","US","['emo rap', 'miami hip hop']","15UsOTVnJzReFVN1VCnxy4",86,38091364
"862477","Billie Eilish","female","18","person","US","['electropop', 'pop']","6qqNVTkY8uBg9cP3Jd7DAH",88,68915938
"3917191","The Chainsmokers","mixed","8","group","US","['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']","69GGBxA162lTqCwzJG5jLp",80,19472616
"2838437","Nicky Jam","male","40","person","PR","['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']","1SupJlEpv7RS2tPNRaHViT",82,17743428
"6240453","Maluma","male","26","person","CO","['reggaeton', 'reggaeton colombiano']","1r4hJ1h58CWwUQe3MxPuau",84,32254453
"336624","Camila Cabello","female","23","person","US","['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']","4nDoRrQiYLoBzwC5BhVJzF",82,28041139
"226787","Dua Lipa","female","24","person","GB","['dance pop', 'pop', 'pop dance', 'uk pop']","6M2wZ9GZgrQXHCFfjv46we",88,36329849
"5249496","Juice WRLD","male","21","person","US","['chicago rap', 'melodic rap']","4MCBfE4596Uoi2O4DtmEMz",88,25709252
"3931139","Selena Gomez","female","28","person","US","['dance pop', 'pop', 'pop dance', 'post-teen pop']","0C8ZW7ezQVs4URX5aX7Kqx",82,37427063
"5977487","Halsey","female","25","person","US","['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop']","26VFTg2z8YR0cCuwLzESi2",83,18402472
"2940025","Cardi B","female","27","person","US","['dance pop', 'pop', 'pop rap', 'rap']","4kYSro6naA4h99UJvo89HB",80,20407078
"6197134","Calvin Harris","male","36","person","GB","['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']","7CajNmpbOovFoOoasH2HaY",85,22842342
"6156674","Nicki Minaj","female","37","person","","['dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'queens hip hop']","0hCNtLu0JehylgoiP8L4Gh",86,26119624
"4896578","Shawn Mendes","male","21","person","CA","['canadian pop', 'pop', 'post-teen pop', 'viral pop']","7n2wHs1TKAczGzO7Dd2rGr",84,39283474
"4156468","Imagine Dragons","mixed","12","group","US","['modern rock', 'rock']","53XhwfbYqKCa1cC15pYq2q",88,41993340
"1695908","Kendrick Lamar","male","33","person","US","['conscious hip hop', 'hip hop', 'rap', 'west coast rap']","2YZyLoL8N0Wb9xBt1NhZWg",88,21469667
"6418646","Sam Smith","other","28","person","GB","['dance pop', 'pop', 'post-teen pop', 'uk pop']","2wY79sveU1sp5g7SokKOiI",82,20207360
"1173475","Future","male","36","person","","['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","1RyvyyTE3xzB2ZywiAwp0i",88,12152231
"458299","Farruko","male","29","person","PR","['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']","329e4yvIujISKGKz1BZZbO",84,14037568
"642341","Maroon 5","mixed","18","group","US","['pop', 'pop rock']","04gDigrS5kc9YWfZHwBETP",85,37922762
"6250855","Rihanna","female","32","person","","['barbadian pop', 'dance pop', 'pop', 'pop dance', 'post-teen pop', 'r&b', 'urban contemporary']","5pKCCKE2ajJHZ9KAiaK11H",87,50131504
"6505492","Lil Uzi Vert","male","26","person","US","['melodic rap', 'philly rap', 'rap', 'trap']","4O15NlyKLIASxsJ0PrXPfz",85,13786405
"4442653","Kygo","male","28","person","NO","['edm', 'pop', 'pop dance', 'tropical house']","23fqKkggKUBHNkbKtXEls4",80,8143590
"5639543","Marshmello","male","28","person","US","['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']","64KEffDW9EtZ1y2vBYgq8T",83,34275300
"84415","Quavo","male","29","person","US","['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']","0VRj0yCOv2FXJNP47XQnx5",79,5916728
"2827866","21 Savage","male","27","person","US","['atl hip hop', 'rap', 'trap']","1URnnhqYAYcrqrcwql10ft",86,11680195
"857171","DJ Snake","male","34","person","FR","['dance pop', 'edm', 'electro house', 'electronic trap', 'pop', 'pop dance']","540vIaP2JwjQb9dm3aArA4",77,8082338
"4454920","Young Thug","male","28","person","US","['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']","50co4Is1HCEo8bhOyUWKpn",83,7476089
"5737463","Sia","female","44","person","AU","['australian dance', 'australian pop', 'dance pop', 'pop', 'pop dance']","5WUlDfRSoLAfcVSX1WnrxN",83,24386719
"1431311","David Guetta","male","52","person","FR","['big room', 'dance pop', 'edm', 'pop', 'pop dance']","1Cs0zKBU1kc0i8ypK3B9ai",88,24738102
